PMID	Title	Authors	Citation	First Author	Journal/Book	Publication Year	Create Date	PMCID	NIHMS ID	DOI	InEmbaseResults?
36916158	Timely adherence to follow-up after high-risk lung cancer screenings	"Kee D, Sigel KM, Wisnivesky JP, Kale MS."	J Med Screen. 2023 Sep;30(3):150-155. doi: 10.1177/09691413231162507. Epub 2023 Mar 14.	Kee D	J Med Screen	2023	3/14/23			10.1177/09691413231162507	TRUE
26397378	Incidental extracardiac findings on cardiac MR: Systematic review and meta-analysis	"Dunet V, Schwitter J, Meuli R, Beigelman-Aubry C."	J Magn Reson Imaging. 2016 Apr;43(4):929-39. doi: 10.1002/jmri.25053. Epub 2015 Sep 23.	Dunet V	J Magn Reson Imaging	2016	9/24/15			10.1002/jmri.25053	TRUE
31452006	Determining Follow-Up Imaging Study Using Radiology Reports	"Dalal S, Hombal V, Weng WH, Mankovich G, Mabotuwana T, Hall CS, Fuller J 3rd, Lehnert BE, Gunn ML."	J Digit Imaging. 2020 Feb;33(1):121-130. doi: 10.1007/s10278-019-00260-w.	Dalal S	J Digit Imaging	2020	8/28/19	PMC7064667		10.1007/s10278-019-00260-w	TRUE
35525892	Prevalence of incidental intracranial findings on magnetic resonance imaging: a systematic review and meta-analysis	"Sunny DE, Amoo M, Al Breiki M, Teng EDW, Henry J, Javadpour M."	Acta Neurochir (Wien). 2022 Oct;164(10):2751-2765. doi: 10.1007/s00701-022-05225-7. Epub 2022 May 8.	Sunny DE	Acta Neurochir (Wien)	2022	5/7/22	PMC9519720		10.1007/s00701-022-05225-7	TRUE
36514824	Incidental findings on magnetic resonance imaging of the internal auditory meatus for vestibular schwannoma: a systematic review	"Sooby P, Huang X, Kontorinis G."	J Laryngol Otol. 2023 Nov;137(11):1215-1221. doi: 10.1017/S0022215122002596. Epub 2022 Dec 14.	Sooby P	J Laryngol Otol	2023	12/14/22			10.1017/S0022215122002596	TRUE
34374592	Electronic Health Record Closed-Loop Communication Program for Unexpected Nonemergent Findings	"Schwartz FR, Roth CJ, Boardwine B, Hardister L, Thomas-Campbell S, Lander K, Montoya C, Jaffe TA."	Radiology. 2021 Oct;301(1):123-130. doi: 10.1148/radiol.2021210057. Epub 2021 Aug 10.	Schwartz FR	Radiology	2021	8/10/21			10.1148/radiol.2021210057	TRUE
36063362	System-driven longitudinal follow-up of incidental imaging findings	"Fu T, Plecha D, Sommer J."	Br J Radiol. 2023 Feb;96(1142):20220573. doi: 10.1259/bjr.20220573. Epub 2022 Oct 1.	Fu T	Br J Radiol	2023	9/5/22	PMC9975520		10.1259/bjr.20220573	TRUE
29854188	Improving Quality of Follow-Up Imaging Recommendations in Radiology	"Mabotuwana T, Hall CS, Tieder J, Gunn ML."	AMIA Annu Symp Proc. 2018 Apr 16;2017:1196-1204. eCollection 2017.	Mabotuwana T	AMIA Annu Symp Proc	2018	6/2/18	PMC5977608			TRUE
35717273	Incidental Radiology Findings on Computed Tomography Studies in Emergency Department Patients: A Systematic Review and Meta-Analysis	"Evans CS, Arthur R, Kane M, Omofoye F, Chung AE, Moreton E, Moore C."	Ann Emerg Med. 2022 Sep;80(3):243-256. doi: 10.1016/j.annemergmed.2022.03.027. Epub 2022 Jun 16.	Evans CS	Ann Emerg Med	2022	6/18/22			10.1016/j.annemergmed.2022.03.027	TRUE
33713168	Five-year follow-up results of thermal ablation for low-risk papillary thyroid microcarcinomas: systematic review and meta-analysis	"Cho SJ, Baek SM, Na DG, Lee KD, Shong YK, Baek JH."	Eur Radiol. 2021 Sep;31(9):6446-6456. doi: 10.1007/s00330-021-07808-x. Epub 2021 Mar 13.	Cho SJ	Eur Radiol	2021	3/13/21			10.1007/s00330-021-07808-x	TRUE
30643358	Role of surveillance imaging and endoscopy in colorectal cancer follow-up: Quality over quantity?	"Liu SL, Cheung WY."	World J Gastroenterol. 2019 Jan 7;25(1):59-68. doi: 10.3748/wjg.v25.i1.59.	Liu SL	World J Gastroenterol	2019	1/16/19	PMC6328961		10.3748/wjg.v25.i1.59	TRUE
30303791	Radiology Report Value Equation	"Eberhardt SC, Heilbrun ME."	Radiographics. 2018 Oct;38(6):1888-1896. doi: 10.1148/rg.2018180133.	Eberhardt SC	Radiographics	2018	10/11/18			10.1148/rg.2018180133	TRUE
34508918	Incidental Adrenal Masses: Adherence to Guidelines and Methods to Improve Initial Follow-Up: A Systematic Review	"Feeney T, Madiedo A, Knapp PE, Gupta A, McAneny D, Drake FT."	J Surg Res. 2022 Jan;269:18-27. doi: 10.1016/j.jss.2021.07.041. Epub 2021 Sep 8.	Feeney T	J Surg Res	2022	9/11/21			10.1016/j.jss.2021.07.041	TRUE
37650760	Evaluation of follow-up strategies for women with epithelial ovarian cancer following completion of primary treatment	"Zachou G, El-Khouly F, Dilley J."	Cochrane Database Syst Rev. 2023 Aug 31;8(8):CD006119. doi: 10.1002/14651858.CD006119.pub4.	Zachou G	Cochrane Database Syst Rev	2023	8/31/23	PMC10471005		10.1002/14651858.CD006119.pub4	TRUE
27156861	Extra-cardiac findings in cardiovascular magnetic resonance: what the imaging cardiologist needs to know	"Rodrigues JC, Lyen SM, Loughborough W, Amadu AM, Baritussio A, Dastidar AG, Manghat NE, Bucciarelli-Ducci C."	J Cardiovasc Magn Reson. 2016 May 9;18(1):26. doi: 10.1186/s12968-016-0246-1.	Rodrigues JC	J Cardiovasc Magn Reson	2016	5/10/16	PMC4860770		10.1186/s12968-016-0246-1	FALSE
38032820	Quality Improvement Report: Design and Implementation of a Radiology E-Consult Service	"Suresh K, Hill PA, Kahn CE Jr, Schnall MD, Rosen MA, Zafar HM, Trerotola SO, Cook TS."	Radiographics. 2023 Dec;43(12):e230139. doi: 10.1148/rg.230139.	Suresh K	Radiographics	2023	11/30/23			10.1148/rg.230139	TRUE
35773813	Impact of Follow-Up Imaging Recommendation Specificity on Adherence	"Mabotuwana T, Hall CS, Hombal V, Dalal S, Gunn ML."	Stud Health Technol Inform. 2022 Jun 29;295:87-90. doi: 10.3233/SHTI220667.	Mabotuwana T	Stud Health Technol Inform	2022	7/1/22			10.3233/SHTI220667	TRUE
27378540	Providing Higher Value Care Through Population Health Management: What Is the Radiologist's Role?	Brink JA.	J Am Coll Radiol. 2016 Jul;13(7):759-60. doi: 10.1016/j.jacr.2016.06.001.	Brink JA	J Am Coll Radiol	2016	7/6/16			10.1016/j.jacr.2016.06.001	FALSE
32330085	"Imaging of Abdominal Wall Masses, Masslike Lesions, and Diffuse Processes"	"Ballard DH, Mazaheri P, Oppenheimer DC, Lubner MG, Menias CO, Pickhardt PJ, Middleton WD, Mellnick VM."	Radiographics. 2020 May-Jun;40(3):684-706. doi: 10.1148/rg.2020190170. Epub 2020 Apr 24.	Ballard DH	Radiographics	2020	4/25/20	PMC7263290		10.1148/rg.2020190170	TRUE
31899183	Process Improvement for Communication and Follow-up of Incidental Lung Nodules	"Kang SK, Doshi AM, Recht MP, Lover AC, Kim DC, Moore W."	J Am Coll Radiol. 2020 Feb;17(2):224-230. doi: 10.1016/j.jacr.2019.11.023. Epub 2019 Dec 31.	Kang SK	J Am Coll Radiol	2020	1/4/20			10.1016/j.jacr.2019.11.023	TRUE
39328928	Tools and recommendations for commissioning and quality assurance of deformable image registration in radiotherapy	"Bosma LS, Hussein M, Jameson MG, Asghar S, Brock KK, McClelland JR, Poeta S, Yuen J, Zachiu C, Yeo AU; 2021 ESTRO Physics Workshop on Commissioning and Quality Assurance for Deformable Image Registration in Radiotherapy."	Phys Imaging Radiat Oncol. 2024 Sep 14;32:100647. doi: 10.1016/j.phro.2024.100647. eCollection 2024 Oct.	Bosma LS	Phys Imaging Radiat Oncol	2024	9/27/24	PMC11424976		10.1016/j.phro.2024.100647	FALSE
31468156	Evidence-based MR imaging follow-up strategy for desmoid-type fibromatosis	"Gondim Teixeira PA, Biouichi H, Abou Arab W, Rios M, Sirveaux F, Hossu G, Blum A."	Eur Radiol. 2020 Feb;30(2):895-902. doi: 10.1007/s00330-019-06404-4. Epub 2019 Aug 29.	Gondim Teixeira PA	Eur Radiol	2020	8/31/19			10.1007/s00330-019-06404-4	TRUE
36519261	Recommendation for imaging follow-up strategy based on time-specific disease failure for nasopharyngeal carcinoma	"Feng Y, Xu Y, Xu T, Hong H, Chen J, Qiu X, Ding J, Huang C, Li L, Liu J, Fei Z, Chen C."	Head Neck. 2023 Mar;45(3):629-637. doi: 10.1002/hed.27277. Epub 2022 Dec 15.	Feng Y	Head Neck	2023	12/15/22			10.1002/hed.27277	TRUE
22760099	"Radiologically isolated syndrome--incidental magnetic resonance imaging findings suggestive of multiple sclerosis, a systematic review"	"Granberg T, Martola J, Kristoffersen-Wiberg M, Aspelin P, Fredrikson S."	Mult Scler. 2013 Mar;19(3):271-80. doi: 10.1177/1352458512451943. Epub 2012 Jul 3.	Granberg T	Mult Scler	2013	7/5/12			10.1177/1352458512451943	TRUE
35137873	Incidental findings on lung cancer screening: pictorial essay and systematic checklist	"Penha D, Pinto E, Monaghan C, Hochhegger B, Marchiori E, Taborda-Barata L, Irion K, Ravara S, Kauczor HU."	J Bras Pneumol. 2022 Feb 2;48(1):e20210371. doi: 10.36416/1806-3756/e20210371. eCollection 2022.	Penha D	J Bras Pneumol	2022	2/9/22	PMC8836644		10.36416/1806-3756/e20210371	TRUE
35421870	Patient Personality and Illness Perceptions in Relation to Follow-Up Appointment Adherence in Neuro-Ophthalmology	"Aziz R, Bindiganavale MP, Chang RT, Moss HE."	J Neuroophthalmol. 2022 Jun 1;42(2):180-186. doi: 10.1097/WNO.0000000000001533. Epub 2022 Mar 24.	Aziz R	J Neuroophthalmol	2022	4/14/22	PMC9124670	NIHMS1765777	10.1097/WNO.0000000000001533	TRUE
26163427	Follow-up of cerebral aneurysm embolization with hydrogel embolic system: Systematic review and meta-analysis	"Serafin Z, Di Leo G, Pa_ys A, Nowaczewska M, Beuth W, Sardanelli F."	Eur J Radiol. 2015 Oct;84(10):1954-63. doi: 10.1016/j.ejrad.2015.06.022. Epub 2015 Jun 29.	Serafin Z	Eur J Radiol	2015	7/12/15			10.1016/j.ejrad.2015.06.022	TRUE
38604408	How often should we perform magnetic resonance imaging (MRI) for the follow-up of pituitary adenoma?	"Constantinescu SM, Duprez T, Bonneville JF, Maiter D."	Ann Endocrinol (Paris). 2024 Jul;85(4):300-307. doi: 10.1016/j.ando.2024.03.004. Epub 2024 Apr 9.	Constantinescu SM	Ann Endocrinol (Paris)	2024	4/11/24			10.1016/j.ando.2024.03.004	TRUE
19687093	Incidental findings on brain magnetic resonance imaging: systematic review and meta-analysis	"Morris Z, Whiteley WN, Longstreth WT Jr, Weber F, Lee YC, Tsushima Y, Alphs H, Ladd SC, Warlow C, Wardlaw JM, Al-Shahi Salman R."	BMJ. 2009 Aug 17;339:b3016. doi: 10.1136/bmj.b3016.	Morris Z	BMJ	2009	8/19/09	PMC2728201		10.1136/bmj.b3016	TRUE
36990192	Factors Affecting Adherence to Outpatient Radiology Report Recommendations	"Kavandi H, Wei JL, Al Bulushi Y, Brook A, Brook OR, Siewert B."	J Am Coll Radiol. 2023 Jun;20(6):540-547. doi: 10.1016/j.jacr.2023.03.009. Epub 2023 Mar 27.	Kavandi H	J Am Coll Radiol	2023	3/29/23			10.1016/j.jacr.2023.03.009	TRUE
20335439	Incidental findings in imaging diagnostic tests: a systematic review	"Lumbreras B, Donat L, Hernández-Aguado I."	Br J Radiol. 2010 Apr;83(988):276-89. doi: 10.1259/bjr/98067945.	Lumbreras B	Br J Radiol	2010	3/26/10	PMC3473456		10.1259/bjr/98067945	TRUE
36732409	Comparing thoracic and abdominal subspecialists' follow-up recommendations for abdominal findings identified on chest CT	"Zhao AH, Glazer DI, Hammer MM, Burk KS, DiPiro PJ, Khorasani R."	Abdom Radiol (NY). 2023 Apr;48(4):1468-1478. doi: 10.1007/s00261-023-03821-4. Epub 2023 Feb 3.	Zhao AH	Abdom Radiol (NY)	2023	2/2/23			10.1007/s00261-023-03821-4	TRUE
30031614	Discrepancy Rates and Clinical Impact of Imaging Secondary Interpretations: A Systematic Review and Meta-Analysis	"Rosenkrantz AB, Duszak R Jr, Babb JS, Glover M, Kang SK."	J Am Coll Radiol. 2018 Sep;15(9):1222-1231. doi: 10.1016/j.jacr.2018.05.037. Epub 2018 Jul 18.	Rosenkrantz AB	J Am Coll Radiol	2018	7/23/18			10.1016/j.jacr.2018.05.037	FALSE
22451541	"Imaging of pregnant and lactating patients: part 1, evidence-based review and recommendations"	"Wang PI, Chong ST, Kielar AZ, Kelly AM, Knoepp UD, Mazza MB, Goodsitt MM."	AJR Am J Roentgenol. 2012 Apr;198(4):778-84. doi: 10.2214/AJR.11.7405.	Wang PI	AJR Am J Roentgenol	2012	3/28/12			10.2214/AJR.11.7405	FALSE
39232429	Incidental pulmonary nodules: Natural language processing analysis of radiology reports	"Grolleau E, Couraud S, Jupin Delevaux E, Piegay C, Mansuy A, de Bermont J, Cotton F, Pialat JB, Talbot F, Boussel L."	Respir Med Res. 2024 Nov;86:101136. doi: 10.1016/j.resmer.2024.101136. Epub 2024 Aug 22.	Grolleau E	Respir Med Res	2024	9/4/24			10.1016/j.resmer.2024.101136	TRUE
23971446	Malignant incidental extracardiac findings on cardiac CT: systematic review and meta-analysis	"Flor N, Di Leo G, Squarza SA, Tresoldi S, Rulli E, Cornalba G, Sardanelli F."	AJR Am J Roentgenol. 2013 Sep;201(3):555-64. doi: 10.2214/AJR.12.10306.	Flor N	AJR Am J Roentgenol	2013	8/27/13			10.2214/AJR.12.10306	TRUE
31132331	Natural Language Processing for Identification of Incidental Pulmonary Nodules in Radiology Reports	"Kang SK, Garry K, Chung R, Moore WH, Iturrate E, Swartz JL, Kim DC, Horwitz LI, Blecker S."	J Am Coll Radiol. 2019 Nov;16(11):1587-1594. doi: 10.1016/j.jacr.2019.04.026. Epub 2019 May 24.	Kang SK	J Am Coll Radiol	2019	5/28/19	PMC7686874	NIHMS1642974	10.1016/j.jacr.2019.04.026	TRUE
34243951	Radiology report language positively influences adrenal incidentaloma guideline adherence	"Watari J, Vekaria S, Lin Y, Patel M, Kim H, Kang F, Lubitz S, Beninato T, Laird AM."	Am J Surg. 2022 Feb;223(2):231-236. doi: 10.1016/j.amjsurg.2021.06.015. Epub 2021 Jun 29.	Watari J	Am J Surg	2022	7/10/21			10.1016/j.amjsurg.2021.06.015	TRUE
27412199	Toward a comprehensive management strategy for incidental findings in imaging	"Adams SJ, Babyn PS, Danilkewich A."	Can Fam Physician. 2016 Jul;62(7):541-3.	Adams SJ	Can Fam Physician	2016	7/15/16	PMC4955074			TRUE
26262328	Follow-up Recommendation Detection on Radiology Reports with Incidental Pulmonary Nodules	"Oliveira L, Tellis R, Qian Y, Trovato K, Mankovich G."	Stud Health Technol Inform. 2015;216:1028.	Oliveira L	Stud Health Technol Inform	2015	8/12/15				TRUE
38164532	Prevalence of Incidental Extraspinal Findings on MR Imaging of the Lumbar Spine in Adults: A Systematic Review and Meta-analysis	"Broadhurst PJ, Gibbons E, Knowles AE, Copson JE."	AJNR Am J Neuroradiol. 2023 Dec 29;45(1):113-118. doi: 10.3174/ajnr.A8065.	Broadhurst PJ	AJNR Am J Neuroradiol	2023	1/2/24	PMC10756571		10.3174/ajnr.A8065	TRUE
35037965	Can magnetic resonance imaging replace conventional computerized tomography for follow-up of patients with testicular cancer? A systematic review	"Busch J, Schmidt S, Albers P, Heinzelbecker J, Kliesch S, Lackner J, Pfister D, Ruf C, Winter C, Zengerling F, Beyersdorff D."	World J Urol. 2022 Dec;40(12):2843-2852. doi: 10.1007/s00345-022-03931-6. Epub 2022 Jan 17.	Busch J	World J Urol	2022	1/17/22	PMC9712293		10.1007/s00345-022-03931-6	TRUE
36057635	Prevalence and significance of incidental findings on 68 Ga-DOTA-conjugated somatostatin receptor-targeting peptide PET/CT: a systematic review of the literature	"Bentestuen M, Gossili F, Almasi CE, Zacho HD."	Cancer Imaging. 2022 Sep 3;22(1):44. doi: 10.1186/s40644-022-00484-0.	Bentestuen M	Cancer Imaging	2022	9/3/22	PMC9441055		10.1186/s40644-022-00484-0	TRUE
38221570	A systematic review for the evidence of recommendations and guidelines in hybrid nuclear cardiovascular imaging	"Besson FL, Treglia G, Bucerius J, Anagnostopoulos C, Buechel RR, Dweck MR, Erba PA, Gaemperli O, Gimelli A, Gheysens O, Glaudemans AWJM, Habib G, Hyafil F, Lubberink M, Rischpler C, Saraste A, Slart RHJA."	Eur J Nucl Med Mol Imaging. 2024 Jul;51(8):2247-2259. doi: 10.1007/s00259-024-06597-x. Epub 2024 Jan 15.	Besson FL	Eur J Nucl Med Mol Imaging	2024	1/14/24	PMC11178580		10.1007/s00259-024-06597-x	TRUE
36759382	The FIND Program: Improving Follow-up of Incidental Imaging Findings	"Zaki-Metias KM, MacLean JJ, Satei AM, Medvedev S, Wang H, Zarour CC, Arpasi PJ."	J Digit Imaging. 2023 Jun;36(3):804-811. doi: 10.1007/s10278-023-00780-6. Epub 2023 Feb 9.	Zaki-Metias KM	J Digit Imaging	2023	2/9/23	PMC10287591		10.1007/s10278-023-00780-6	TRUE
26614886	Malpractice Liability Risk and Use of Diagnostic Imaging Services: A Systematic Review of the Literature	"Li S, Brantley E."	J Am Coll Radiol. 2015 Dec;12(12 Pt B):1403-12. doi: 10.1016/j.jacr.2015.09.015.	Li S	J Am Coll Radiol	2015	11/29/15			10.1016/j.jacr.2015.09.015	FALSE
38778578	Evaluation of GPT-4 ability to identify and generate patient instructions for actionable incidental radiology findings	"Woo KC, Simon GW, Akindutire O, Aphinyanaphongs Y, Austrian JS, Kim JG, Genes N, Goldenring JA, Major VJ, Pariente CS, Pineda EG, Kang SK."	J Am Med Inform Assoc. 2024 Sep 1;31(9):1983-1993. doi: 10.1093/jamia/ocae117.	Woo KC	J Am Med Inform Assoc	2024	5/23/24	PMC11339516		10.1093/jamia/ocae117	TRUE
34565635	Closing the Compliance Loop on Follow-Up Imaging Recommendations: Comparing Radiologists' and Administrators' Attitudes	"Kadom N, Fredericks N, Moore CL, Seidenwurm D, Shugarman S, Venkatesh A."	Curr Probl Diagn Radiol. 2022 Jul-Aug;51(4):486-490. doi: 10.1067/j.cpradiol.2021.08.003. Epub 2021 Aug 29.	Kadom N	Curr Probl Diagn Radiol	2022	9/27/21			10.1067/j.cpradiol.2021.08.003	TRUE
28139044	Quality of referral: What information should be included in a request for diagnostic imaging when a patient is referred to a clinical radiologist?	G Pitman A.	J Med Imaging Radiat Oncol. 2017 Jun;61(3):299-303. doi: 10.1111/1754-9485.12577. Epub 2017 Jan 31.	G Pitman A	J Med Imaging Radiat Oncol	2017	2/1/17			10.1111/1754-9485.12577	TRUE
31206047	Process improvement for follow-up radiology report recommendations of lung nodules	"Lim PS, Schneider D, Sternlieb J, Taupin M, Sich N, Dian J, Jameson E, Frambes B, Taylor S."	BMJ Open Qual. 2019 Apr 24;8(2):e000370. doi: 10.1136/bmjoq-2018-000370. eCollection 2019.	Lim PS	BMJ Open Qual	2019	6/18/19	PMC6542430		10.1136/bmjoq-2018-000370	TRUE
34727513	Patient Identification of Lung Cancer Screening Follow-Up Recommendations and the Association with Adherence	"Triplette M, Wenger DS, Shahrir S, Kross EK, Kava C, Phipps A, Hawes SE, Cole A, Snidarich M, Crothers K."	Ann Am Thorac Soc. 2022 May;19(5):799-806. doi: 10.1513/AnnalsATS.202107-887OC.	Triplette M	Ann Am Thorac Soc	2022	11/2/21			10.1513/AnnalsATS.202107-887OC	FALSE
35278871	"Incidental imaging findings referred to a specialized sarcoma center: Frequency, determinants, and downstream healthcare costs"	"Aljumaan MYA, Yakar D, Jutte PC, Kwee TC."	Clin Imaging. 2022 May;85:99-105. doi: 10.1016/j.clinimag.2022.03.002. Epub 2022 Mar 7.	Aljumaan MYA	Clin Imaging	2022	3/12/22			10.1016/j.clinimag.2022.03.002	TRUE
38051166	Enhanced Notification of Radiographic Incidental Findings in Trauma Does Not Guarantee Follow-Up Compliance	"McCrory M, Smith L, Heidel E, Daley B."	South Med J. 2023 Dec;116(12):938-941. doi: 10.14423/SMJ.0000000000001630.	McCrory M	South Med J	2023	12/5/23			10.14423/SMJ.0000000000001630	TRUE
34076452	Notification System for Overdue Radiology Recommendations Improves Rates of Follow-Up and Diagnosis	"Mannix J, LaVoye J, Wasserman M, Lada NE, Onoue K, Hassan K, Sarangi R, Haroon S, Gaffar A, Qureshi MM, Gupta A."	AJR Am J Roentgenol. 2021 Aug;217(2):515-520. doi: 10.2214/AJR.20.23173. Epub 2021 Jun 2.	Mannix J	AJR Am J Roentgenol	2021	6/2/21			10.2214/AJR.20.23173	TRUE
25198378	Evaluation of follow-up strategies for patients with epithelial ovarian cancer following completion of primary treatment	"Clarke T, Galaal K, Bryant A, Naik R."	Cochrane Database Syst Rev. 2014 Sep 8;2014(9):CD006119. doi: 10.1002/14651858.CD006119.pub3.	Clarke T	Cochrane Database Syst Rev	2014	9/9/14	PMC6457804		10.1002/14651858.CD006119.pub3	TRUE
26842832	"Incidental findings in emergency imaging: frequency, recommendations, and compliance with consensus guidelines"	"Hanna TN, Shekhani H, Zygmont ME, Kerchberger JM, Johnson JO."	Emerg Radiol. 2016 Apr;23(2):169-74. doi: 10.1007/s10140-016-1378-1. Epub 2016 Feb 3.	Hanna TN	Emerg Radiol	2016	2/5/16			10.1007/s10140-016-1378-1	TRUE
39283819	"Incidental Thyroid Nodules on Computed Tomography: A Systematic Review and Meta-Analysis Examining Prevalence, Follow-Up, and Risk of Malignancy"	"Song Z, Wu C, Kasmirski J, Gillis A, Fazendin J, Lindeman B, Chen H."	Thyroid. 2024 Nov;34(11):1389-1400. doi: 10.1089/thy.2024.0313. Epub 2024 Sep 27.	Song Z	Thyroid	2024	9/16/24			10.1089/thy.2024.0313	TRUE
36596692	"Longitudinal follow-up of postacute COVID-19 syndrome: DL(CO), quality-of-life and MRI pulmonary gas-exchange abnormalities"	"Matheson AM, McIntosh MJ, Kooner HK, Abdelrazek M, Albert MS, Dhaliwal I, Nicholson JM, Ouriadov A, Svenningsen S, Parraga G."	Thorax. 2023 Apr;78(4):418-421. doi: 10.1136/thorax-2022-219378. Epub 2023 Jan 3.	Matheson AM	Thorax	2023	1/3/23	PMC10086459		10.1136/thorax-2022-219378	TRUE
16452395	Follow-up of posttraumatic ligamentous and meniscal knee lesions detected at MR imaging: systematic review	"Boks SS, Vroegindeweij D, Koes BW, Hunink MG, Bierma-Zeinstra SM."	Radiology. 2006 Mar;238(3):863-71. doi: 10.1148/radiol.2382050063. Epub 2006 Feb 1.	Boks SS	Radiology	2006	2/3/06			10.1148/radiol.2382050063	TRUE
21084411	Transmission of nonemergent critical findings: communication versus consultation	Baker SR.	Radiology. 2010 Dec;257(3):609-11. doi: 10.1148/radiol.10101679.	Baker SR	Radiology	2010	11/19/10			10.1148/radiol.10101679	FALSE
37148354	Value of contrast-enhanced MR angiography for the follow-up of treated brain arteriovenous malformations: systematic review and meta-analysis	"Zhuo Y, Chang J, Chen Y, Wen C, Chen F, Li W, Gao M, Luo W, Wan S, Song L, Zhu L."	Eur Radiol. 2023 Oct;33(10):7139-7148. doi: 10.1007/s00330-023-09714-w. Epub 2023 May 6.	Zhuo Y	Eur Radiol	2023	5/6/23			10.1007/s00330-023-09714-w	TRUE
